"election_id","donor_id","margin","contracts_after","contracts_before"
"E0001","F0001",2.24025707691908,62.4702138754409,73.7257093933021
"E0002","F0002",-0.766215180046856,69.6513394435527,73.4072561233279
"E0003","F0003",6.85448511969298,82.4560250060399,39.7744979285863
"E0004","F0004",6.63889999967068,81.0636836766759,89.462179061435
"E0005","F0005",7.97319941455498,90.9895737588428,69.8530060091642
"E0006","F0006",1.95808040443808,78.7549076559912,57.9478275719866
"E0007","F0007",1.23006061417982,74.3984665638309,74.1841052842441
"E0008","F0008",8.95818662596866,70.6079980079164,72.3960326742214
"E0009","F0009",-8.91725447494537,64.5350341215329,60.2026162753495
"E0010","F0010",3.07383062783629,69.0501927711907,73.1042905570678
"E0011","F0011",7.7142647956498,64.9677794916547,58.1733068682262
"E0012","F0012",12.1182494284585,109.418300588916,86.1090938907472
"E0013","F0013",-3.60935731558129,55.775569886386,53.5915292621005
"E0014","F0014",4.45409453473985,59.8227698871717,44.5996718437006
"E0015","F0015",4.62460293900222,57.2928161138264,59.2589713588405
"E0016","F0016",13.5534082283266,125.779468145201,81.2448030830622
"E0017","F0017",0.695164287462831,59.9470741629856,52.06876839667
"E0018","F0018",-1.31435769377276,57.7275298597862,67.7879133624018
"E0019","F0019",12.0608726190403,110.39910563001,64.5438709180216
"E0020","F0020",14.8448826977983,95.5541912740157,72.2190093044608
"E0021","F0021",-6.44925267901272,65.35156624605,38.6266357082099
"E0022","F0022",-0.753422810230404,61.1870335763214,53.4941026442194
"E0023","F0023",8.61564368242398,69.3301647544687,78.3070691376283
"E0024","F0024",14.3700519693084,112.08604794063,94.1145487967995
"E0025","F0025",-2.38276005489752,48.1529438109574,48.3291202202741
"E0026","F0026",9.68978022923693,95.9421568422584,63.1921934271384
"E0027","F0027",0.0444583198986948,90.5768179048251,66.4123103860135
"E0028","F0028",10.0108884880319,80.3894269752024,59.3653047667009
"E0029","F0029",-10.3844173019752,60.651370272372,57.5907555440626
"E0030","F0030",-12.8737651999108,60.1565463583573,30.7795752570789
"E0031","F0031",6.97793717728928,90.8311356381283,60.8931316628564
"E0032","F0032",-11.0630224971101,47.1591698390483,49.2005525229719
"E0033","F0033",12.9208376188762,109.857347171537,56.3511410288196
"E0034","F0034",9.87178193405271,83.3756640318955,65.8154427797266
"E0035","F0035",7.86237835418433,83.831557822168,61.4893191298585
"E0036","F0036",1.12548650242388,65.8489166988675,48.9587543872735
"E0037","F0037",1.17202116642147,73.1215781258201,63.4668526420024
"E0038","F0038",-13.3084609801881,79.9491119834213,80.2516325353177
"E0039","F0039",13.310045117978,83.8734331744838,75.7985035714021
"E0040","F0040",0.0339260185137391,81.6802502161779,84.7495641136277
"E0041","F0041",-3.90648188302293,52.3379605900419,70.5776147110551
"E0042","F0042",-6.65570095879957,60.2494913471915,40.3052025994522
"E0043","F0043",12.6284630130976,91.7739578568743,75.7743376365889
"E0044","F0044",-10.0175769045018,41.8608643159362,51.472070171883
"E0045","F0045",10.9548571449704,87.0383314602403,94.5391570686409
"E0046","F0046",9.63468202622607,80.9182497262507,80.4661485659472
"E0047","F0047",-11.313452522736,53.3980049658183,55.2119705957968
"E0048","F0048",-14.9514889670536,51.6595950586943,58.7359661595559
"E0049","F0049",-3.35318917874247,76.8266845029026,75.2613519023116
"E0050","F0050",-2.50497141620144,52.9542493760827,44.2079443500472
"E0051","F0051",10.238177748397,92.5667258404203,45.5023816205259
"E0052","F0052",-8.02296617534012,66.8206274285914,49.7351252958695
"E0053","F0053",-5.31476465519518,60.6615811036922,56.3538051320489
"E0054","F0054",-12.5170079316013,45.2692686900002,76.5068437219796
"E0055","F0055",-11.0806926875375,47.0412480000802,40.7795397516077
"E0056","F0056",0.562659620773047,95.9614718320448,58.5093875221216
"E0057","F0057",10.2197632798925,80.7472823634682,77.1952616039765
"E0058","F0058",-14.0538918343373,51.0203402808741,77.1885712393926
"E0059","F0059",1.74808750860393,75.8722170622848,33.6931014454714
"E0060","F0060",7.3921665083617,76.6964840877044,45.885970330577
"E0061","F0061",12.3925632890314,101.855971890742,67.1176687044898
"E0062","F0062",5.83349259803072,81.2546402114673,62.564081778252
"E0063","F0063",-2.46434604283422,78.8319840094906,56.5541843998081
"E0064","F0064",-3.70724908774719,46.5278845862771,76.1715252121766
"E0065","F0065",-11.4730194839649,35.800528196969,61.7534414605427
"E0066","F0066",-12.5868393620476,45.4401542092418,62.0620182013434
"E0067","F0067",2.94941623695195,67.4976817776725,47.8704406210297
"E0068","F0068",-6.06019864557311,35.3991098453108,72.8785730591029
"E0069","F0069",-5.37600410403684,59.2470656409891,54.1742139917918
"E0070","F0070",-10.8631565468386,63.253716885461,68.7995059681201
