"applicant_id","score","enrolled","wage_index","exit_score","prior_score"
"S0001",92.0599437691271,1,129.542540245683,57.9819311079461,71.6292846212763
"S0002",64.9617702327669,0,99.4535632866459,52.4821287560452,53.8301145305992
"S0003",88.6600420437753,0,101.634454808723,67.680164454368,65.7812543058517
"S0004",93.7446405179799,1,140.96999767781,73.0652073321711,68.2376207651209
"S0005",74.7895147558302,0,97.0803922739618,64.1521902916371,46.8262353892872
"S0006",85.8990131877363,0,110.027606109448,57.8258653344146,59.8626725910338
"S0007",89.9946752563119,1,119.593443106274,63.5460576048797,65.1371695009847
"S0008",72.3573870863765,1,106.466672119183,61.3663748009777,60.1812432738549
"S0009",63.2642164733261,0,83.8379051059805,60.3895939923799,47.3049650863283
"S0010",90.2811838500202,1,131.737776754032,72.1457645322608,55.9998083102898
"S0011",95.866493312642,1,133.003139664399,75.8063918900178,59.310704167875
"S0012",96.807125210762,1,140.376853598626,73.4964346600233,71.2517634227085
"S0013",69.6723554283381,0,93.2065397742023,56.8597043428877,52.7833082646226
"S0014",66.3592186383903,0,88.2050392886698,64.1044114559755,49.7138592401305
"S0015",83.8837721943855,1,114.372348696414,74.5563520067293,63.4112296054051
"S0016",87.648147912696,1,106.360442468165,63.1033637148327,51.4032576489921
"S0017",74.5422682445496,0,104.27070342912,65.2877779440019,49.5650770125894
"S0018",78.9155241940171,0,100.190273319938,66.6445693578203,58.2032358880952
"S0019",83.930105464533,1,113.805489069863,69.4592085255275,55.3882393416999
"S0020",87.5799347553402,1,126.680094925883,64.5334390753464,67.5766001150189
"S0021",73.3351573254913,0,101.181941974214,65.6559230738731,50.3850741909736
"S0022",87.0301226060838,1,123.894238793819,63.103059701214,66.9419187905914
"S0023",67.6633152272552,0,80.7920655467733,53.5620075181366,56.5422876355904
"S0024",79.7443790175021,0,107.661337436504,62.1025143430759,57.5941962450797
"S0025",78.6994226556271,0,103.721707000614,76.4020570163812,53.6445650834204
"S0026",86.6616975981742,1,115.574795475743,63.5888538414508,58.5537029790759
"S0027",87.3000678885728,1,131.063087114822,68.7746653198472,67.7199442123999
"S0028",94.4182986672968,1,139.884703660691,68.701161594088,70.3258588756756
"S0029",71.9017904065549,1,113.708134193229,67.4880417221347,57.1542584147754
"S0030",61.2226646300405,0,91.6667326608323,49.0603300475566,42.2399429817764
"S0031",65.6507341377437,0,87.994192200499,58.2526282404569,53.8433183040514
"S0032",78.4085954725742,0,98.4573372161261,73.556903456718,55.7919823979623
"S0033",76.1820892989635,1,104.039632532072,65.8822569311927,51.8380487473882
"S0034",67.4000257439911,0,87.8374477493084,52.6020557783467,54.4989738953909
"S0035",88.7981385737658,1,118.980532652927,73.117098578577,68.2216918685145
"S0036",74.1493259370327,0,97.9783254172254,66.1477000010039,46.7551683687465
"S0037",99.5979636441916,1,156.274068454276,75.5426141738383,73.5254029967655
"S0038",63.4783768095076,0,87.2611381634257,60.8330728892553,61.6312383109289
"S0039",64.2350227478892,0,93.3686955262198,52.1527688433355,55.4452059131203
"S0040",67.3623441066593,0,85.4272244128051,52.8334517018752,49.8873517961452
"S0041",67.593934033066,0,89.9476666401196,56.4923758326701,52.0463850926913
"S0042",70.2228476852179,0,98.0214393945712,59.9452732008439,52.1637428618726
"S0043",87.1682671643794,1,111.29027300692,59.5371493160394,59.7218658933705
"S0044",81.7539198324084,1,112.920406758972,63.1599999342005,57.655108210499
"S0045",64.1899015195668,0,88.9803397704272,59.7217298323631,56.7896509939757
"S0046",89.1955784521997,1,118.903734394556,67.8499800041586,62.5636737994096
"S0047",89.031090810895,1,115.785870001558,68.1990969610229,57.9827619726515
"S0048",65.5437820684165,0,81.060738524934,56.394715314584,47.8858406294873
"S0049",71.8437390588224,1,112.531406240622,59.9256526171888,59.5561733274854
"S0050",73.2303944136947,0,81.2410739311356,67.8511791263026,55.7605416345303
"S0051",72.2282298933715,0,87.762562165449,62.1018639924576,60.7873351574599
"S0052",63.0369226448238,0,76.1969969147015,59.4682528983534,54.7916941971822
"S0053",86.6843753773719,1,111.490741750035,61.9891213588187,54.3137876818365
"S0054",89.7999109793454,1,127.881778064713,63.5371908488228,63.7060983698529
"S0055",85.4457982908934,0,118.567985288358,70.0989247686113,54.063430981884
"S0056",99.8789698351175,1,150.101473278783,80.1999772640662,70.7357314274918
"S0057",68.4228310640901,0,89.0876482195134,50.9860125035086,48.3578962810382
"S0058",79.6572232060134,1,120.295837118601,65.3014597096674,57.1367519090028
"S0059",89.859126592055,1,129.411724943066,68.3822367969847,68.4062954249263
"S0060",63.96279534325,0,92.4936385412706,58.9620306451534,49.6817495876245
"S0061",88.1338532269001,1,121.379985712874,64.3875421536297,70.141398561928
"S0062",94.4511185586452,1,136.556471209204,69.2483639411383,72.3108848495164
"S0063",92.987622031942,1,131.336016816506,77.0549853354468,58.7465937582808
"S0064",69.9592599552125,0,100.102497931152,52.3713533770083,56.827590030387
"S0065",92.8942724782974,1,133.904734482129,64.9349553158022,63.6922381344854
"S0066",62.9216202721,1,94.6264278742514,55.4041448950906,54.9654534642702
"S0067",63.2269456796348,0,85.6664896077665,49.8851891826444,47.9323044827835
"S0068",65.64772750251,0,98.8183951466346,63.2533886193631,54.54411059795
"S0069",83.7697635404766,1,116.044438631923,67.9660491725137,53.911472157511
"S0070",82.7549471240491,1,114.372004520984,59.3151629382231,51.641670027132
"S0071",82.9778150655329,1,113.34164581736,71.7966197384397,54.4306722094928
"S0072",81.1218683794141,1,98.5316266225842,64.6893739288848,58.6322207645619
"S0073",78.8428798038512,0,119.528976455286,63.7109782927103,50.7506577924949
"S0074",94.2303927894682,1,129.861845214424,74.2406389095846,66.9415789248365
"S0075",98.1901067122817,1,151.15661090037,73.743955908283,60.6061539080581
"S0076",81.5626678243279,1,109.621945384334,71.2663222315911,63.6054319266986
"S0077",98.7588017899543,0,139.140823221968,69.1639035715702,57.9520712736739
"S0078",69.7309505101293,1,112.934826902685,63.8972596955239,53.6445158285721
"S0079",65.9156540129334,0,88.5380531315175,64.625483566322,54.7281165679344
"S0080",96.6353222820908,1,149.608363631441,69.8390684108899,76.5263142337865
"S0081",99.1744379233569,1,154.78025688856,75.7737293251626,70.4562395019538
